Start date,End date,alpha
1989-1-01,1991-1-01,4.82281653989404
1989-3-01,1991-3-01,3.796006212796397
1989-5-01,1991-5-01,3.8250780452397324
1989-7-01,1991-7-01,4.615304556407185
1989-9-01,1991-9-01,3.7624873785850825
1989-11-01,1991-11-01,3.9505059121426696
1990-1-01,1992-1-01,3.8638114688556366
1990-3-01,1992-3-01,3.95723671263578
1990-5-01,1992-5-01,4.024458262479246
1990-7-01,1992-7-01,4.368463472065989
1990-9-01,1992-9-01,4.5084682719363744
1990-11-01,1992-11-01,4.719669215524042
1991-1-01,1993-1-01,4.630467459138099
1991-3-01,1993-3-01,5.15489020830573
1991-5-01,1993-5-01,3.9594237391023634
1991-7-01,1993-7-01,3.9858791580195314
1991-9-01,1993-9-01,4.088440816160901
1991-11-01,1993-11-01,4.0869723716577235
1992-1-01,1994-1-01,4.149281373171022
1992-3-01,1994-3-01,4.152085731465114
1992-5-01,1994-5-01,5.890524311084768
1992-7-01,1994-7-01,3.694673541436859
1992-9-01,1994-9-01,4.063273408242896
1992-11-01,1994-11-01,3.8149556907735884
1993-1-01,1995-1-01,3.79674019631061
1993-3-01,1995-3-01,3.6412938741776846
1993-5-01,1995-5-01,3.6639862660908804
1993-7-01,1995-7-01,4.165342812401748
1993-9-01,1995-9-01,3.8375518143935787
1993-11-01,1995-11-01,4.135847890785356
1994-1-01,1996-1-01,4.238238168105106
1994-3-01,1996-3-01,4.276753640832291
1994-5-01,1996-5-01,4.307018620796519
1994-7-01,1996-7-01,4.274903966320775
1994-9-01,1996-9-01,3.7703063633095177
1994-11-01,1996-11-01,4.080375798496333
1995-1-01,1997-1-01,3.674164915731203
1995-3-01,1997-3-01,6.004777879796491
1995-5-01,1997-5-01,3.5657555619542376
1995-7-01,1997-7-01,3.2113724545734366
1995-9-01,1997-9-01,5.0850386779726815
1995-11-01,1997-11-01,4.438379189503518
1996-1-01,1998-1-01,4.788039786152356
1996-3-01,1998-3-01,4.676470285227904
1996-5-01,1998-5-01,5.01004060520836
1996-7-01,1998-7-01,5.123134085340787
1996-9-01,1998-9-01,4.207632668830566
1996-11-01,1998-11-01,3.6905292744784197
1997-1-01,1999-1-01,3.7953586027688395
1997-3-01,1999-3-01,4.138295017117946
1997-5-01,1999-5-01,4.187984385645227
1997-7-01,1999-7-01,4.167000748390527
1997-9-01,1999-9-01,4.061520018395225
1997-11-01,1999-11-01,4.562098267592094
1998-1-01,2000-1-01,4.562098267592094
1998-3-01,2000-3-01,4.71121482734657
1998-5-01,2000-5-01,4.798264272612622
1998-7-01,2000-7-01,4.797889506144025
1998-9-01,2000-9-01,5.578234048196426
1998-11-01,2000-11-01,5.839174634697627
1999-1-01,2001-1-01,5.5976347106872755
1999-3-01,2001-3-01,5.154289968151336
1999-5-01,2001-5-01,4.7926717795416645
1999-7-01,2001-7-01,4.852476055105334
1999-9-01,2001-9-01,5.018889197230876
1999-11-01,2001-11-01,3.9002037207263935
2000-1-01,2002-1-01,4.618352244295858
2000-3-01,2002-3-01,4.246304641440833
2000-5-01,2002-5-01,5.025574136295497
2000-7-01,2002-7-01,4.903593208489982
2000-9-01,2002-9-01,4.269193999175592
2000-11-01,2002-11-01,4.306397491242992
2001-1-01,2003-1-01,4.280038158265012
2001-3-01,2003-3-01,4.400219472831279
2001-5-01,2003-5-01,4.5574830229668155
2001-7-01,2003-7-01,4.613410819410639
2001-9-01,2003-9-01,4.559010322036264
2001-11-01,2003-11-01,7.453055787509797
2002-1-01,2004-1-01,7.453055787509797
2002-3-01,2004-3-01,7.453055787509797
2002-5-01,2004-5-01,7.453055787509797
2002-7-01,2004-7-01,3.2550063723660316
2002-9-01,2004-9-01,3.77874695392246
2002-11-01,2004-11-01,4.344198802340779
2003-1-01,2005-1-01,5.107531772721243
2003-3-01,2005-3-01,5.135080907734299
2003-5-01,2005-5-01,8.078291424067498
2003-7-01,2005-7-01,10.316807489485402
2003-9-01,2005-9-01,10.377257715295263
2003-11-01,2005-11-01,22.867680586608504
2004-1-01,2006-1-01,19.917614287191473
2004-3-01,2006-3-01,17.34703729084064
2004-5-01,2006-5-01,4.821362995451981
2004-7-01,2006-7-01,4.603912669696296
2004-9-01,2006-9-01,4.557097502684506
2004-11-01,2006-11-01,4.68592884654326
2005-1-01,2007-1-01,4.815584711850004
2005-3-01,2007-3-01,4.5165652068382895
2005-5-01,2007-5-01,4.334854976221336
2005-7-01,2007-7-01,4.033712475571654
2005-9-01,2007-9-01,3.517514346969199
2005-11-01,2007-11-01,3.556213365800148
2006-1-01,2008-1-01,3.951681795079095
2006-3-01,2008-3-01,3.878517549507019
2006-5-01,2008-5-01,6.838925146583206
2006-7-01,2008-7-01,3.5638743765034606
2006-9-01,2008-9-01,3.5215672188398583
2006-11-01,2008-11-01,3.3302230443091188
2007-1-01,2009-1-01,2.961492667309988
2007-3-01,2009-3-01,3.1149359648485087
2007-5-01,2009-5-01,3.859712142347965
2007-7-01,2009-7-01,3.244854953819369
2007-9-01,2009-9-01,3.246900589857878
2007-11-01,2009-11-01,3.2338639990346065
2008-1-01,2010-1-01,3.1335705788442945
2008-3-01,2010-3-01,3.859712142347965
2008-5-01,2010-5-01,3.097608476583836
2008-7-01,2010-7-01,3.906199968262842
2008-9-01,2010-9-01,3.906199968262842
2008-11-01,2010-11-01,4.045802462813001
2009-1-01,2011-1-01,5.08532240192974
2009-3-01,2011-3-01,5.733960292168529
2009-5-01,2011-5-01,10.24563520705739
2009-7-01,2011-7-01,3.540662197690353
2009-9-01,2011-9-01,3.405510704030313
2009-11-01,2011-11-01,3.248285115047704
2010-1-01,2012-1-01,3.331678467884212
2010-3-01,2012-3-01,3.319401773914065
2010-5-01,2012-5-01,3.291592700382458
2010-7-01,2012-7-01,3.524848574342324
2010-9-01,2012-9-01,3.7188141985108225
2010-11-01,2012-11-01,3.67621124591042
2011-1-01,2013-1-01,3.6628162750954583
2011-3-01,2013-3-01,3.5663527525809036
2011-5-01,2013-5-01,3.4308306789776193
2011-7-01,2013-7-01,3.4017891221598737
2011-9-01,2013-9-01,3.952416559932599
2011-11-01,2013-11-01,4.699061409071987
2012-1-01,2014-1-01,5.22295027449455
2012-3-01,2014-3-01,4.709209166483146
2012-5-01,2014-5-01,4.092604149710365
2012-7-01,2014-7-01,4.696518924629881
2012-9-01,2014-9-01,4.261481942420179
2012-11-01,2014-11-01,4.749417688189596
2013-1-01,2015-1-01,4.744230444716641
2013-3-01,2015-3-01,5.150058321097116
2013-5-01,2015-5-01,5.404236173478052
2013-7-01,2015-7-01,4.999600994327578
2013-9-01,2015-9-01,4.235090508105241
2013-11-01,2015-11-01,3.9710360523160033
2014-1-01,2016-1-01,3.987149166827572
2014-3-01,2016-3-01,5.187779398733148
2014-5-01,2016-5-01,5.034653982582224
2014-7-01,2016-7-01,5.176167873954182
2014-9-01,2016-9-01,5.173140110096831
2014-11-01,2016-11-01,4.546376742157097
2015-1-01,2017-1-01,4.529067814518355
2015-3-01,2017-3-01,4.421438753303385
2015-5-01,2017-5-01,3.979444088018841
2015-7-01,2017-7-01,4.324221078035574
2015-9-01,2017-9-01,4.840822068061325
2015-11-01,2017-11-01,4.880553500004732
2016-1-01,2018-1-01,3.1082875516062947
2016-3-01,2018-3-01,4.064251492830278
2016-5-01,2018-5-01,4.100194764095519
2016-7-01,2018-7-01,3.0879868966076316
2016-9-01,2018-9-01,3.2633346363464826
2016-11-01,2018-11-01,3.0113221480261525
2017-1-01,2019-1-01,2.7764938897864786
2017-3-01,2019-3-01,2.7767830186725115
2017-5-01,2019-5-01,2.7494432718838286
2017-7-01,2019-7-01,2.904034672614119
2017-9-01,2019-9-01,3.2213737845316066
2017-11-01,2019-11-01,3.285661756185704
2018-1-01,2020-1-01,3.285661756185704
2018-3-01,2020-3-01,2.790141016316057
2018-5-01,2020-5-01,2.34119437327577
2018-7-01,2020-7-01,2.228549015921499
2018-9-01,2020-9-01,2.326816313103082
2018-11-01,2020-11-01,2.619215399872556
2019-1-01,2021-1-01,2.5551389038234684
2019-3-01,2021-3-01,2.618263263545799
2019-5-01,2021-5-01,2.6825389223191434
2019-7-01,2021-7-01,2.675799091906538
2019-9-01,2021-9-01,2.7146921425661223
2019-11-01,2021-11-01,2.706163760417316
2020-1-01,2022-1-01,2.7703318448108796
2020-3-01,2022-3-01,2.9588348851658517
2020-5-01,2022-5-01,4.1293586609399355
2020-7-01,2022-7-01,4.230796452292132
2020-9-01,2022-9-01,4.3152749794678495
2020-11-01,2022-11-01,6.0090642969051045
2021-1-01,2023-1-01,6.039851695830087
2021-3-01,2023-3-01,5.751630207247989
2021-5-01,2023-5-01,5.751630207247989
2021-7-01,2023-7-01,5.751630207247989
2021-9-01,2023-9-01,5.751630207247989
2021-11-01,2023-11-01,5.751630207247989
2022-1-01,2024-1-01,5.751630207247989
2022-3-01,2024-3-01,3.5113447632228256
2022-5-01,2024-5-01,3.6852384169160364
2022-7-01,2024-7-01,4.306021337461495
2022-9-01,2024-9-01,4.40929580160149
2022-11-01,2024-11-01,5.216341618202464
